agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
greedy,hard,11,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,11,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,12,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,12,caught,130,13,1.87,60,0,0,0,-872.6
model_based,hard,12,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,12,caught,490,52,7.15,32,0,11,5,-530.4
utility_based,hard,12,caught,510,50,6.82,30,0,7,5,-510.0
learning,hard,12,caught,410,39,5.28,56,1,19,7,-611.8
greedy,hard,12,caught,130,13,1.87,60,0,0,0,-872.6
random,hard,12,caught,130,17,2.42,60,0,4,4,-881.4
table_driven,hard,13,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,13,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,13,caught,560,61,8.36,29,0,17,0,-452.2
goal_based,hard,13,win,890,101,13.635,0,0,28,9,2851.8
utility_based,hard,13,caught,870,96,13.09,2,0,25,8,-165.2
learning,hard,13,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,13,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,13,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,hard,14,caught,70,10,1.35,66,0,3,1,-934.0
simple_reflex,hard,14,caught,140,14,1.98,59,0,0,0,-862.8
model_based,hard,14,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,14,caught,490,57,7.81,32,0,16,7,-535.4
utility_based,hard,14,caught,210,22,3.08,52,0,1,1,-796.4
learning,hard,14,caught,820,57,7.81,27,1,11,1,-193.4
greedy,hard,14,caught,140,14,1.98,59,0,0,0,-862.8
random,hard,14,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,15,caught,70,10,1.35,66,0,3,1,-934.0
simple_reflex,hard,15,caught,130,13,1.87,60,0,0,0,-872.6
model_based,hard,15,caught,550,54,7.37,30,0,11,0,-460.8
